product_id,product_name,description,category,producer_id,seasonal_start_month,seasonal_end_month,base_price,unit,allergen_info,stock_quantity,availability_status
P000119,Blackcurrant Punnets,"Sharp blackcurrants for desserts, sauces and community preserving sessions.",fruit,PR000002,5,10,3.75,300g punnet,,500,available
P000120,Golden Beetroot,Mild golden beetroot that keeps colour well when roasted or grated raw.,vegetables,PR000003,4,11,2.60,kg,,500,available
P000121,Kefir Drinking Yoghurt,Cultured milk drink with a clean tang and no added flavourings.,dairy,PR000004,1,12,3.20,500ml bottle,milk,500,available
P000122,Rye and Caraway Boule,"Dense rye boule with caraway seed, suited to soup service and smoked fish plates.",bakery,PR000005,1,12,4.65,loaf,gluten,500,available
P000123,Gooseberry Compote,Tart gooseberry compote cooked in small batches for yoghurt bowls and desserts.,preserves,PR000006,1,12,4.20,280g jar,,500,available
P000124,Early Season Pea Shoots,"Fresh pea shoots cut young for salads, sandwiches and restaurant garnish.",seasonal_specialities,PR000007,6,12,2.85,100g bag,,500,available
P000125,Bristol Orchard Apple Juice,"Pressed apple juice from mixed local orchard varieties, gently pasteurised.",fruit,PR000008,5,10,3.50,750ml bottle,,500,available
P000126,Mixed Salad Leaves,Washed mixed salad leaves with peppery and mild varieties for quick service.,vegetables,PR000009,4,11,2.70,250g bag,,500,available
P000127,Smoked Farmhouse Cheese,Lightly smoked semi-hard cheese suitable for sandwiches and grazing boards.,dairy,PR000010,1,12,4.40,200g block,milk,500,available
P000128,Multiseed Bagels,"Boiled and baked bagels topped with sesame, poppy and sunflower seeds.",bakery,PR000011,1,12,3.95,pack of 4,"gluten, sesame",500,available
P000129,Runner Bean Piccalilli,Crunchy runner beans in a mustard pickle sauce for ploughman's lunches.,preserves,PR000012,1,12,4.10,280g jar,"mustard, sulphites",500,available
P000130,Nettle and Spinach Soup Mix,"Seasonal greens mix prepared for soups, sauces and community kitchens.",seasonal_specialities,PR000013,6,12,3.30,500g bag,,500,available
P000131,Damson Plums,"Deep purple damsons for jams, sauces and baked desserts.",fruit,PR000002,5,10,3.45,kg,,500,available
P000132,Leek and Onion Box,"A kitchen-prep box of leeks and onions for soups, stocks and casseroles.",vegetables,PR000003,4,11,4.80,2kg box,,500,available
P000133,Buttermilk,"Cultured buttermilk for pancakes, baking and marinades.",dairy,PR000004,1,12,2.20,500ml bottle,milk,500,available
P000134,Olive and Herb Ciabatta,"Open-crumb ciabatta with olives and dried herbs, baked for deli service.",bakery,PR000005,1,12,4.25,loaf,gluten,500,available
P000135,Spiced Pumpkin Preserve,Autumn pumpkin preserve with cinnamon and nutmeg for toast and desserts.,preserves,PR000006,1,12,4.55,280g jar,,500,available
P000136,Baby Turnips with Greens,Small turnips supplied with greens attached for roasting or braising.,seasonal_specialities,PR000007,6,12,2.95,bunch,,500,available
P000137,Red Gooseberries,Sharp red gooseberries packed for preserves and restaurant dessert menus.,fruit,PR000008,5,10,3.80,300g punnet,,500,available
P000138,Romanesco Cauliflower,Geometric Romanesco heads with a nutty flavour and firm bite.,vegetables,PR000009,4,11,2.90,each,,500,available
P000139,Farmhouse Halloumi,Grilling cheese made in small batches for cafes and restaurant specials.,dairy,PR000010,1,12,4.75,200g pack,milk,500,available
P000140,Apple and Oat Traybake,Traybake portions made with local apples and rolled oats.,bakery,PR000011,1,12,12.00,tray of 12,"gluten, milk, egg",500,available
P000141,Fermented Red Cabbage,"Live fermented red cabbage with caraway, packed for chilled delivery.",preserves,PR000012,1,12,4.30,350g jar,,500,available
P000142,Fresh Horseradish Root,"Strong fresh horseradish root for sauces, roast dinners and preserves.",seasonal_specialities,PR000013,6,12,2.75,each,,500,available
